date,hours,workhub_intake_id,requirement_name,execution_id,task_id,task_title,worklog_title,evidence,confidence,status
2026-07-13,4,137,【保费分期】中化贷后系统对接需求-关于已结清客户退保申请,803,13556,需求管理与交付跟进,退保需求方案确认与研发协调,WorkHub开发阶段及禅道执行,high,submitted
2026-07-13,4,140,中恒（资产包）-接京东支付通道,804,13557,需求管理与交付跟进,支付通道方案确认与交付跟进,WorkHub开发阶段及禅道执行,high,submitted
2026-07-24,4,141,先行通-合作方线上扣款需求,807,13763,需求分析、方案评审及交付跟进,扣款需求测试问题跟进与验收准备,WorkHub测试阶段及禅道执行,high,submitted
2026-07-24,4,123,新生支付-通道接入需求（浙江汇浦）,792,13762,支付通道接入需求管理及交付跟进,支付通道测试问题跟进与交付协调,WorkHub测试阶段及禅道执行,high,submitted
2026-07-27,2,122,新生支付-通道接入需求（租赁保理）,790,13761,支付通道接入需求管理及交付跟进,支付通道测试结果跟进与验收协调,WorkHub测试阶段及禅道执行,high,submitted
2026-07-27,2,99,中金支付商户号开通,777,13543,需求管理与交付跟进,支付商户交付与上线事项确认,WorkHub上线阶段及禅道执行,high,submitted
2026-07-27,2,141,先行通-合作方线上扣款需求,807,13763,需求分析、方案评审及交付跟进,扣款需求测试结果跟进与验收协调,WorkHub测试阶段及禅道执行,high,submitted
2026-07-27,2,123,新生支付-通道接入需求（浙江汇浦）,792,13762,支付通道接入需求管理及交付跟进,通道接入测试结果确认与交付协调,WorkHub测试阶段及禅道执行,high,submitted
2026-07-28,2,130,沃橙商城项目新增扣款主体,798,13553,需求管理与交付跟进,新增扣款主体验收与上线跟进,WorkHub验收上线阶段及禅道执行,high,submitted
2026-07-28,2,122,新生支付-通道接入需求（租赁保理）,790,13761,支付通道接入需求管理及交付跟进,支付通道测试验收事项协调,WorkHub测试验收阶段及禅道执行,high,submitted
2026-07-28,2,123,新生支付-通道接入需求（浙江汇浦）,792,13762,支付通道接入需求管理及交付跟进,支付通道测试验收事项协调,WorkHub测试验收阶段及禅道执行,high,submitted
2026-07-28,2,144,先行通设备科技平台支付问题优化,810,13764,需求分析、方案评审及交付跟进,支付问题测试结果确认与验收协调,WorkHub测试验收阶段及禅道执行,high,submitted
2026-07-29,4,144,先行通设备科技平台支付问题优化,810,13764,需求分析、方案评审及交付跟进,支付问题验收结论与上线事项确认,WorkHub验收上线阶段及禅道执行,high,submitted
2026-07-29,2,123,新生支付-通道接入需求（浙江汇浦）,792,13762,支付通道接入需求管理及交付跟进,支付通道上线准备与交付事项确认,WorkHub上线阶段及禅道执行,high,submitted
2026-07-29,2,122,新生支付-通道接入需求（租赁保理）,790,13761,支付通道接入需求管理及交付跟进,支付通道上线准备与交付事项确认,WorkHub待上线阶段及禅道执行,high,submitted
2026-07-30,4,143,易单通、趣学呗业财凭证修改,805,13558,需求管理与交付跟进,业财凭证需求分析与实施计划协调,WorkHub开发启动记录及禅道执行,high,submitted
2026-07-30,2,123,新生支付-通道接入需求（浙江汇浦）,792,13762,支付通道接入需求管理及交付跟进,支付通道上线结果确认与交付收尾,WorkHub上线时间及禅道执行,high,submitted
2026-07-30,2,122,新生支付-通道接入需求（租赁保理）,790,13761,支付通道接入需求管理及交付跟进,支付通道待上线事项确认与交付跟进,WorkHub待上线阶段及禅道执行,high,submitted
