date,hours,workhub_intake_id,requirement_name,execution_id,execution_url,task_title,worklog_title,evidence,confidence,status
2026-07-14,4,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,需求范围确认与实施计划协调,WorkHub需求负责人及开发启动时间,high,submitted
2026-07-14,4,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,需求范围确认与实施计划协调,WorkHub需求负责人及开发启动时间,high,submitted
2026-07-15,4,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,扣款方案评审与研发安排协调,WorkHub需求负责人及开发启动时间,high,submitted
2026-07-15,3,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,支付通道方案评审与接口协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-15,3,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,支付通道方案评审与接口协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-16,2,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,支付优化需求拆分与计划确认,WorkHub需求负责人及开发启动时间,high,submitted
2026-07-16,2,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,研发进度与接口风险跟进,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-16,2,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,研发进度与联调准备跟进,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-16,2,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,研发进度与联调准备跟进,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-17,2,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,支付场景评审与开发问题协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-17,2,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,扣款链路开发问题协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-17,2,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,通道接入问题跟进与联调协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-17,2,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,通道接入问题跟进与联调协调,WorkHub需求负责人及开发阶段记录,high,submitted
2026-07-20,2,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,支付优化研发进度与交付风险跟进,WorkHub需求负责人及实际开发阶段,high,submitted
2026-07-20,3,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,扣款需求开发完成确认与提测协调,WorkHub实际完成时间及测试阶段,high,submitted
2026-07-20,3,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,通道接入开发完成确认与提测协调,WorkHub实际完成时间及测试阶段,high,submitted
2026-07-20,2,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,通道接入开发完成确认与提测协调,WorkHub实际完成时间及测试阶段,high,submitted
2026-07-21,2,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,测试范围确认与问题跟进,WorkHub测试阶段记录,high,submitted
2026-07-21,2,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,扣款需求测试问题协调,WorkHub测试阶段记录,high,submitted
2026-07-21,2,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,支付通道测试问题协调,WorkHub测试阶段记录,high,submitted
2026-07-21,2,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,支付通道测试问题协调,WorkHub测试阶段记录,high,submitted
2026-07-22,3,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,支付问题修复确认与验收准备,WorkHub测试及验收阶段记录,high,submitted
2026-07-22,3,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,扣款链路问题闭环与验收准备,WorkHub测试及验收阶段记录,high,submitted
2026-07-22,2,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,通道测试结果跟进与交付协调,WorkHub测试及验收阶段记录,high,submitted
2026-07-22,2,122,新生支付-通道接入需求（租赁保理）,790,http://10.10.116.28/zentao/execution-task-790.html,需求管理、方案评审及研发交付跟进,通道测试结果跟进与交付协调,WorkHub测试及验收阶段记录,high,submitted
2026-07-23,5,144,先行通设备科技平台支付问题优化,810,http://10.10.116.28/zentao/execution-task-810.html,需求管理、方案评审及研发交付跟进,支付优化交付确认与后续测试协调,WorkHub实际完成时间及测试阶段,high,submitted
2026-07-23,2,141,先行通-合作方线上扣款需求,807,http://10.10.116.28/zentao/execution-task-807.html,需求管理、方案评审及研发交付跟进,需求交付确认与验收事项跟进,WorkHub测试及验收阶段记录,high,submitted
2026-07-23,1,123,新生支付-通道接入需求（浙江汇浦）,792,http://10.10.116.28/zentao/execution-task-792.html,需求管理、方案评审及研发交付跟进,需求交付确认与验收事项跟进,WorkHub测试及验收阶段记录,high,submitted
